date,ticker,adj_close,return,volume,market_cap
2014-01-31,JP1000,1789.542667268457,-0.10050255309201063,46931168,20138281142.486584
2014-01-31,JP1001,2471.2899256410365,-0.0791782874093451,20408165,33240872981.383137
2014-01-31,JP1002,3402.08194346219,0.08076403879293508,7569425,77102315573.06271
2014-01-31,JP1003,3624.6193208745194,0.11345946102397567,40750566,8873797585.451548
2014-01-31,JP1004,1748.0021103316424,-0.10873608438574753,34590121,21104728281.940422
2014-01-31,JP1005,2185.4502315252403,0.0857476369129904,33021893,115419326842.21487
2014-01-31,JP1006,2805.7402942756025,-0.025648709327050816,7434354,14096799981.724524
2014-01-31,JP1007,1447.39060015758,0.052803030647744706,38787736,9266542764.726059
2014-01-31,JP1008,2753.078160680862,-0.08104688143531838,33679284,27920927182.762646
2014-01-31,JP1009,1855.2614863327685,-0.03963974934796485,40713592,56195164335.72666
2014-01-31,JP1010,753.7361628671083,-0.0071390908794060175,42229851,31009019236.623127
2014-01-31,JP1011,734.5250140582174,0.17828781772168906,14537957,102920150712.9641
2014-01-31,JP1012,3016.799230278907,0.0021992965060384576,14478787,67374046006.202065
2014-01-31,JP1013,530.0331694631533,-0.07379046748572879,46570249,54846487041.84327
2014-01-31,JP1014,1301.2962479359844,0.024727071722197624,28896201,41218907741.69808
2014-01-31,JP1015,1303.2052662068168,-0.09235100341262996,24709532,284055214089.1996
2014-01-31,JP1016,863.5378016630888,-0.07769552103003885,17924077,21701902017.49402
2014-01-31,JP1017,1391.0516663673166,0.01309636597659216,33755614,3773812459.2288585
2014-01-31,JP1018,2639.7420370153104,-0.023166869699619338,38928135,129311138342.9395
2014-01-31,JP1019,444.38713032694756,-0.0025356724396136676,5103894,17233395578.452656
2014-01-31,JP1020,2836.386686352172,-0.04313113394528433,29868710,29976882937.96999
2014-01-31,JP1021,2960.1450737005175,-0.0311438596789893,49701582,106066004768.92957
2014-01-31,JP1022,1536.3469726523156,-0.011366654187640511,17628803,5784462537.977294
2014-01-31,JP1023,721.2789928836694,-0.1768100850117279,17640337,6443679639.306763
2014-01-31,JP1024,2238.3530844710804,-0.010718696954256021,44515873,4266225038.9348426
2014-01-31,JP1025,671.3787537511273,-0.12919340759487055,7792839,13233776839.631987
2014-01-31,JP1026,1311.2718105493482,-0.14365923658089402,22888452,46300060991.24256
2014-01-31,JP1027,3207.3087983250393,-0.04859546801088156,25621791,40401208743.578156
